﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2017-04-30 ,PB(不含商誉) 2017-04-30 ,资产负债率 2016-12-31 累计(%)
sz,="002818",富森美,房地产租赁,21.96,31.1,20.42,21.8,19.39,35.24,5,21.5
sz,="002152",广电运通,电脑与外围设备,21.95,21.46,11.82,20.98,21.24,28.66,2.33,25.5
sh,="601398",工商银行,银行,21.92,23.02,15.24,17.1,19.96,6.3,0.92,91.79
sh,="600436",片仔癀,中药,21.92,27.47,16.2,15.43,16.79,55.49,9,25.55
sh,="603939",益丰药房,药品流通,21.84,17.67,10.78,13.93,26.22,44.96,4.2,29.51
sz,="300497",富祥股份,化学原料药,21.76,28.11,25.94,29.65,20.84,36.11,7.75,43.92
sz,="300595",欧普康视,医疗保健设备与用品,21.73,35.99,38.56,40.04,38.63,63.27,10.08,11.63
sh,="600919",江苏银行,银行,21.69,22.72,14.47,15.72,16.76,9.74,1.25,94.73
sz,="002788",鹭燕医药,药品流通,21.66,22.66,14.91,16.58,17.1,45.05,3.83,60.75
sh,="603016",新宏泰,电气部件与设备,21.6,24.28,10.35,15.49,18.92,79.9,5.18,10.23
sh,="603020",爱普股份,食品,21.6,19.95,10.68,11.82,19.1,30.13,3.06,10.81
sh,="603239",浙江仙通,汽车零配件与设备,21.6,24.43,41.65,31.09,22.1,52.45,9.74,20.8
sz,="000002",万科A,住宅地产开发和管理,21.54,21.45,19.68,19.14,19.17,10.35,1.89,80.54
sh,="600000",浦发银行,银行,21.53,20.95,16.35,18.82,21.02,6.32,0.96,93.63
sz,="300444",双杰电气,电气部件与设备,21.53,22.16,11.43,13.31,20.21,109.94,9.07,45.14
sh,="603218",日月股份,通用机械,21.53,15.95,22.17,36.71,29.24,54.6,6.54,27.56
sh,="603919",金徽酒,饮料,21.5,39.78,16.28,24.09,21.19,34.88,4.55,27.31
sh,="601818",光大银行,银行,21.48,22.54,13.8,15.5,17.36,5.98,0.82,93.75
sz,="000065",北方国际,建筑与工程,21.47,19.99,16.79,14.41,20.89,57.77,4.16,69.86
sh,="603027",千禾味业,食品,21.42,22.33,13.11,15.32,13.9,59.78,6.46,13.27
sh,="600763",通策医疗,医疗保健提供商与服务,21.4,24.38,18.17,26.52,19.17,57.64,9.89,30.12
sz,="300039",上海凯宝,中药,21.39,17.94,13.48,14.25,20.61,28.24,3.62,12.96
sh,="603037",凯众股份,汽车零配件与设备,21.37,21.1,22.28,18.15,19.2,42.65,5.77,16.07
sh,="600201",生物股份,生物科技,21.35,12.69,24.92,26.07,28,30.13,5.31,13.69
sz,="300629",新劲刚,黑色金属,21.35,19.17,13.52,12.53,12.64,160.14,12.01,46.11
sh,="603578",三星新材,非金属材料与制品,21.33,23.76,20.29,17.87,17.73,97.31,10.52,26.1
sz,="002244",滨江集团,住宅地产开发和管理,21.3,23.05,12.21,12.02,10.91,18.43,1.63,68.25
sz,="300505",川金诺,化学原料,21.25,23.29,10.74,12.47,13.42,74.76,6.4,21.91
sh,="601939",建设银行,银行,21.23,21.98,15.44,17.27,19.74,6.46,0.93,92.42
sz,="300599",雄塑科技,化学制品,21.22,22.93,15.7,17.34,21.21,69.87,5.78,42.33
sh,="600276",恒瑞医药,化学制剂,21.22,22.91,23.24,24.37,21.28,46.47,9.54,10.16
sz,="300597",吉大通信,通信技术服务,21.17,39.71,14.12,17.32,20.03,88.3,6.97,29.75
sh,="603058",永吉股份,商业用品与服务,21.14,21.92,16.71,17.87,20.71,112.01,12.5,8.17
sh,="603585",苏利股份,农用化工,21.13,20.23,27.11,24.95,18.37,31.92,4.34,13.7
sz,="300609",汇纳科技,信息技术服务,21.13,31.25,20.87,19.79,20.95,83.49,10.22,13.67
sh,="600511",国药股份,药品流通,21.12,19.92,16.7,18.91,24.44,30.82,4.71,45.73
sh,="600987",航民股份,纺织品,21.1,16.76,18.55,18.9,19.86,15.28,2.42,17.8
sh,="600743",华远地产,住宅地产开发和管理,21.03,20.53,13.73,17.73,18.25,24.94,1.78,74.81
sz,="300428",四通新材,有色金属,20.97,24.99,11.38,11.71,21.98,105.97,13.57,14.41
sz,="002815",崇达技术,电子元器件,20.9,28.4,27.48,32.12,37.5,40.19,7.65,38.09
sh,="601288",农业银行,银行,20.89,20.74,15.14,16.79,19.57,5.95,0.89,93.25
sz,="000999",华润三九,化学制剂,20.86,23.06,14.78,17.33,15.93,24.5,4.79,35.64
sh,="603885",吉祥航空,航空运输,20.84,18.16,21.33,36.11,23.71,31.44,3.76,55.44
sh,="603131",上海沪工,通用机械,20.82,22.02,14.47,15.42,18.1,65.84,7.58,20.9
sz,="002711",*ST欧浦,物流,20.79,26.85,15.48,11.5,10.93,56.89,10.31,47.1
sz,="300611",美力科技,汽车零配件与设备,20.78,14.82,13.95,14.84,19.16,74.95,6.24,27.17
sh,="603701",德宏股份,汽车零配件与设备,20.68,19.77,15.02,20.99,21.5,47.69,5.72,26.35
sz,="300563",神宇股份,通信设备,20.66,26.6,13.22,14.38,13.13,91,7.67,31.02
sh,="601127",小康股份,汽车,20.64,24.7,15.93,15.67,14.91,35.09,5.03,76.94
sz,="300623",捷捷微电,半导体,20.61,23.53,25.88,20.58,22.37,55.74,6.1,12.57
sz,="002035",华帝股份,耐用家居用品,20.6,26.89,20.22,13.9,20.95,37.84,7.35,50.05
sh,="603668",天马科技,农牧渔产品,20.58,31.87,19.13,18.36,18.99,75.78,6.87,53.36
sz,="300146",汤臣倍健,食品,20.57,15.45,11.76,15.69,22.02,29.91,3.78,11.72
sz,="002508",老板电器,家用电器,20.57,16.65,33.38,29.1,25.55,33.21,9.04,35.7
sz,="300455",康拓红外,电子设备及服务,20.56,23.4,10.9,12.84,17.3,74.99,7.81,19.67
sz,="300602",飞荣达,电子元器件,20.56,18.74,23.2,25.38,27.18,45.23,5.28,37.1
sh,="603198",迎驾贡酒,饮料,20.55,26.02,17.84,16.42,20.7,26.26,4.98,30.32
sh,="601229",上海银行,银行,20.51,19.53,14.35,15.67,18.44,9.4,1.14,93.38
sz,="300499",高澜股份,电气部件与设备,20.5,21.42,10.7,17.1,19.16,72.67,5.41,46.68
sh,="603089",正裕工业,汽车零配件与设备,20.48,23.86,24.21,20.07,19.66,45.48,6.29,42.76
sz,="300427",红相股份,电气部件与设备,20.44,23.28,12.49,13.67,18.82,81.89,9.28,22.83
sz,="002142",宁波银行,银行,20.41,19.97,17.74,17.68,19.45,8.43,1.47,94.31
sz,="300509",新美星,专用设备,20.39,26.43,12.26,17.22,18.38,82.29,5.52,48.55
sh,="603887",城地股份,建筑与工程,20.24,20.89,12.35,17.3,18.3,70.1,5.5,33.35
sz,="000069",华侨城A,酒店餐饮与休闲,20.16,21.35,16.84,15.35,18.4,10.62,1.51,67.12
sz,="300639",凯普生物,生物科技,20.14,16.32,16.88,17.22,27.87,59.62,4.81,13.38
sz,="002285",世联行,其他房地产服务,20.13,14.85,19.47,17.67,21.13,23.14,4.23,45.17
sz,="002793",东音股份,电气部件与设备,20.11,30.03,17.86,26.13,22.56,55.54,7.27,14.09
sz,="002825",纳尔股份,商业用品与服务,20.11,25.21,19.09,21.85,24.33,66.67,6.94,21.09
sz,="300645",正元智慧,信息技术服务,20.11,23.09,14.32,12.08,19.87,44.76,3.52,37.88
sz,="002275",桂林三金,中药,20.1,16.48,16.33,16.36,20.09,28.39,4.37,15.48
sz,="300598",诚迈科技,计算机软件,20.09,22.57,19.89,20.3,17.65,116.36,8.85,22.9
sz,="002802",洪汇新材,化学原料,20.07,37.11,12.57,17.54,14.01,147.59,12.24,4.85
sh,="600023",浙能电力,电力公用事业,20.04,13.92,11.09,13.88,15.3,13.23,1.25,37.35
sh,="600926",杭州银行,银行,20.02,22.43,11.83,12.84,15.67,13.59,1.41,94.65
sh,="603006",联明股份,汽车零配件与设备,19.99,20.77,16.7,14.02,14.7,56.42,7.87,25.63
sh,="603811",诚意药业,化学制剂,19.81,25.74,26.42,23.82,24.17,74.69,8.61,23.09
sh,="603050",科林电气,电气部件与设备,19.8,24.58,11.2,10.42,13.55,81.94,5.29,46.24
sh,="600637",东方明珠,传媒,19.79,18.27,11.42,14.49,16.49,33.03,2.17,21.97
sz,="002701",奥瑞金,容器与包装,19.79,25.46,24.55,25.51,22.57,19.3,3.21,64.58
sh,="600697",欧亚集团,百货商店,19.66,18.83,16.32,18.71,20.31,15.07,2.3,75.41
sz,="300638",广和通,电信增值服务,19.64,17.1,32.51,33.7,46.73,90.36,6.36,48.17
sh,="603615",茶花股份,家常用品,19.61,24.16,11.57,12.89,14.5,61.59,4.17,9.46
sz,="300124",汇川技术,电气部件与设备,19.59,12.28,21.49,21.91,20.55,44.55,8.46,37.52
sz,="000550",江铃汽车,汽车,19.56,19.55,10.74,19.56,21.2,24.02,1.56,49.34
sz,="200550",江铃B,,19.56,19.55,10.74,19.56,21.2,15.92,1,49.34
sz,="300539",横河模具,化学制品,19.5,28.65,14.37,13.68,12.67,105.68,10.13,32.13
sh,="603090",宏盛股份,通用机械,19.44,25.76,12.72,16.27,15.78,90.74,8.93,12.49
sh,="600197",伊力特,饮料,19.4,19.32,14.9,16.2,17.02,29.71,4.02,28.78
sh,="603139",康惠制药,中药,19.38,21.26,13.31,14.59,17.24,53.14,3.75,20.18
sh,="603360",百傲化学,化学制品,19.36,21.77,23.98,17.28,21.83,47.11,6.38,26.87
sz,="300070",碧水源,商业用品与服务,19.35,15.95,12.8,16.35,17.26,36.56,4.3,48.65
sz,="300600",瑞特股份,重型电气设备,19.31,24.93,21.82,29.51,24.46,60.91,7.27,27.07
sh,="600015",华夏银行,银行,19.3,18.5,15.75,17.18,19.31,5.86,0.89,93.51
sz,="002450",*ST康得,化学制品,19.26,19.61,17.32,25.55,23.45,34.77,4.37,40.96
sh,="600850",华东电脑,信息技术服务,19.15,17.7,15.78,22.39,18.69,35,4.75,60.85
sz,="002858",力盛赛车,酒店餐饮与休闲,19.11,30.2,15.78,13.49,17.34,127.12,11.46,15.06
sz,="002327",富安娜,纺织品,19.09,18.93,15.73,16.33,19.06,21.17,3.02,24.59
sh,="600104",上汽集团,汽车,19.07,18.52,17.53,17.91,18.97,10.5,1.54,60.2
