﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sh,="603489",八方股份,,63.35,26.89,68.53,57.47,61.1,32.78,5.04,27.58
sz,="002027",分众传媒,传媒,46.92,67.65,70.73,73.2,17.46,48.15,6.18,23.2
sz,="300571",平治信息,电信增值服务,45.98,33.11,35.17,25.62,38.87,23.68,7.84,65
sh,="600338",西藏珠峰,有色金属,42.86,71.24,66.21,22.62,27.2,14.69,3.5,42.22
sh,="603260",合盛硅业,化学制品,42.19,42.12,28.02,13.03,17.76,20.39,3.11,49.38
sz,="300760",迈瑞医疗,医疗保健设备与用品,42.16,47,28,10,26.16,48.88,13.49,27.99
sh,="601155",新城控股,住宅地产开发和管理,41.91,34.18,22.44,22.53,39.39,9.12,2.51,88.01
sz,="300752",隆利科技,光电子器件,40.76,41.76,55.18,23.03,10.86,39.21,3.7,51.02
sh,="603755",日辰股份,,40.38,38.22,26.71,23.8,36.48,60.48,8.48,7.19
sz,="300751",迈为股份,专用设备,37.99,52.08,84.81,41.15,16.17,32.38,4.93,64.12
sz,="300800",力合科技,,37.77,21.35,17.63,15.26,45.79,28.48,3.27,30.52
sz,="300761",立华股份,农牧渔产品,37.15,32.11,27.8,33.36,31.39,15.22,3.8,20.65
sh,="600309",万华化学,化学原料,36.82,50.66,28.11,14.67,24.59,17.23,3.9,56.5
sz,="002942",新农股份,农用化工,36.75,27.47,15.52,16.33,19.47,22.45,3.62,28.02
sh,="688006",杭可科技,,36.56,31.5,56.37,71.94,26.38,50.09,6.53,40.34
sz,="300757",罗博特科,专用设备,35.59,49.21,56.73,83.69,19.18,40.45,4.55,52.75
sz,="002803",吉宏股份,商业用品与服务,35.43,17.04,12.85,14.6,36.38,15.58,4.05,42.09
sh,="600340",华夏幸福,住宅地产开发和管理,35.19,31.4,29.54,42.07,41.38,6.43,2.15,84.94
sz,="300799",左江科技,,35.15,38.09,22.36,58.96,35.77,103.56,12.41,23.88
sh,="600566",济川药业,中药,34.74,31.78,29.95,28.57,30.24,11.39,3.32,31.41
sh,="688368",晶丰明源,,34.52,48.1,19.08,10.5,30.41,56.16,3.64,41.33
sh,="603868",飞科电器,家用电器,34.46,38.42,34.3,55.23,30.14,23.19,6.39,28.01
sh,="600519",贵州茅台,饮料,34.46,32.95,24.44,26.23,34.45,34.43,11.32,19.52
sz,="300747",锐科激光,电子设备及服务,34.15,70.45,37.45,14.04,12.41,73.93,8.91,21.4
sz,="002841",视源股份,电子元器件,34.1,31.46,74.94,54.65,39.76,38.28,12.62,55.9
sz,="000895",双汇发展,食品,34.06,31.4,28.33,27.24,36.89,20.83,6.77,39.83
sz,="002415",海康威视,电子设备及服务,33.99,34.96,34.56,35.28,31.37,25.26,7.31,39.94
sh,="601138",工业富联,电子设备及服务,33.66,18.87,20.93,27.67,24.72,20.17,4.1,60.49
sz,="000651",格力电器,家用电器,33.36,37.44,30.41,27.31,28.62,13.46,3.46,64.92
sh,="603288",海天味业,食品,32.66,31.12,32,32,33.44,59.9,19.2,26.9
sh,="603236",移远通信,,32.21,22.97,21.28,37.99,21.5,81,7.33,39.38
sh,="603658",安图生物,生物科技,32.2,27.68,32.22,46.36,32.57,65.31,21.97,38.15
sz,="300601",康泰生物,生物科技,30.94,22.9,12.49,10.21,23.03,104.7,20.14,32.85
sz,="300577",开润股份,纺织品,30.68,19.98,37.04,37.47,32.84,31.87,9.43,52.27
sz,="300136",信维通信,通信设备,30.55,37.66,32.03,22.65,23.63,44.53,9.65,45.48
sz,="002507",涪陵榨菜,食品,30.08,23.76,17.56,12.85,25.06,29.75,7.02,16.44
sh,="603700",宁波水表,电子设备及服务,30.03,31.87,40.52,40.45,19.42,23.18,2.98,22.98
sh,="603583",捷昌驱动,电气部件与设备,29.97,34.74,35.57,56.6,16.43,25.28,4.07,15.25
sh,="603927",中科软,,29.82,24.9,24.16,25.45,28.78,89.74,16.65,61.15
sh,="600585",海螺水泥,建筑材料,29.66,19.12,11.59,11.03,28.02,7.42,1.91,20.53
sz,="300801",泰和科技,,29.62,19.91,16.21,13.91,24.25,33.23,3.27,15.06
sz,="002372",伟星新材,建筑产品,29.45,28.19,26.15,21.46,29.44,19.92,5.35,19.14
sz,="002677",浙江美大,家用电器,29.28,25.73,18.5,15.32,32.49,19.9,6.27,26.65
sz,="300567",精测电子,电子设备及服务,28.91,21.08,33.71,37.57,26.3,34.39,7.54,61.65
sz,="002032",苏泊尔,耐用家居用品,28.84,26.87,22.79,21.9,29.67,35.03,9.58,38.51
sh,="603568",伟明环保,商业用品与服务,28.74,24.24,18.23,21.48,28.33,22.95,5.51,39.76
sh,="600398",海澜之家,服装与配饰,28.7,32.51,34.64,40.02,26.51,10.68,2.89,50.82
sh,="600763",通策医疗,医疗保健提供商与服务,28.66,23.39,18.17,26.52,30.67,73.95,19.76,26
sz,="002035",华帝股份,耐用家居用品,28.34,26.1,20.22,13.9,28.23,13.78,3.69,48.34
sh,="600426",华鲁恒升,农用化工,28.33,14.02,11.27,12.98,18.86,11.54,1.99,26.99
sh,="603666",亿嘉和,专用设备,28.25,51.41,38.23,23.14,22.88,35.42,5.68,15.95
sz,="002901",大博医疗,医疗保健设备与用品,28.1,37.76,41.87,54.42,28.99,61.47,15.3,19.17
sh,="603444",吉比特,计算机软件,28.05,29.58,78.9,43.74,30.94,25.46,7.21,19.69
sz,="300802",矩子科技,,27.76,23.19,18.96,20.77,22.78,70.34,6.57,17.87
sh,="603589",口子窖,饮料,27.42,24,19.81,20.55,26.7,20.07,4.92,20.52
sh,="603156",养元饮品,饮料,27,38.77,46.73,57.77,24.51,13.48,2.7,10.32
sz,="300628",亿联网络,通信设备,26.9,26.67,71.36,74.51,30.71,38.95,10.05,7.55
sh,="600452",涪陵电力,电力公用事业,26.79,22.32,22.23,30.85,29.32,13.34,3.32,66.75
sz,="002749",国光股份,农用化工,26.74,22.1,16.24,19.02,24.05,24.21,3.68,11.48
sz,="300357",我武生物,化学制剂,26.63,25.55,21.02,21.98,26.47,84.36,19.72,5.25
sz,="002508",老板电器,家用电器,26.4,31.66,33.38,29.1,25.21,19.67,4.48,35.72
sz,="300529",健帆生物,医疗保健设备与用品,26.3,22.21,24.08,39.58,29.21,62.56,15.2,13.49
sh,="603899",晨光文具,商业用品与服务,26.16,24.45,21.81,21.44,27.38,45.05,10.83,39.33
sz,="002127",南极电商,商业用品与服务,26.05,27.26,21.76,43.88,27.06,27.72,8.1,11.56
sz,="002304",洋河股份,饮料,25.95,24.08,24.01,25.37,23.65,20.06,4.11,21.68
sz,="002947",恒铭达,电子元器件,25.93,29.85,30.09,32.67,18.29,45.29,5.6,11.12
sz,="000333",美的集团,家用电器,25.66,25.88,26.88,29.06,26.47,16.16,5.46,63.42
sz,="000603",盛达资源,有色金属,25.56,10.65,11.8,31.3,32.83,25.06,3.82,41.91
sz,="000049",德赛电池,电子设备及服务,25.54,23.63,24.6,27.75,25.27,17.44,3.74,71.05
sz,="002833",弘亚数控,专用设备,25.42,28.67,42.52,30.03,22.16,19.61,3.49,20.88
sh,="603587",地素时尚,服装与配饰,25.23,43.98,55.27,63.7,18.42,16.76,2.9,14.24
sz,="002597",金禾实业,化学原料,25.15,35.88,24.76,10.94,19.36,15.24,2.64,28.56
sh,="600809",山西汾酒,饮料,25.08,19.04,13.24,12.52,27.65,41.22,10.74,45.95
sh,="600436",片仔癀,中药,24.98,21.16,16.2,15.43,24.07,45.54,9.6,21.69
sz,="002146",荣盛发展,住宅地产开发和管理,24.89,22.44,18.74,16.49,25.72,4.38,1.03,83.69
sz,="000963",华东医药,药品流通,24.87,23.02,22.19,42.98,25.05,17,4.22,45.8
sz,="002925",盈趣科技,电子设备及服务,24.72,80.97,72.25,50.88,23.17,25.15,5.44,22.87
sh,="600887",伊利股份,食品,24.33,25.22,26.58,23.87,25.94,27.48,7.44,53.89
sh,="603638",艾迪精密,专用设备,24.17,18.1,17.13,12.09,27.72,36.44,8.84,34.39
sh,="603613",国联股份,,24.08,21.03,19.24,19.66,27.98,65.85,8.23,37.62
sz,="000596",古井贡酒,饮料,24.03,19.09,15.88,15.91,27.06,26.86,6.72,31.74
sz,="200596",古井贡Ｂ,,24.03,19.09,15.88,15.91,27.06,13.04,3.29,31.74
sh,="603259",药明康德,生物科技,23.98,21.14,29.1,14.45,11.25,71.32,9.03,36.75
sz,="300450",先导智能,专用设备,23.95,34.16,35.56,27.34,21.39,36.98,12.09,54.37
sh,="603650",彤程新材,化学原料,23.64,27.99,35.4,43.44,13.19,24.97,4.27,37.09
sz,="002174",游族网络,计算机软件,23.62,21.12,24.12,42.19,21.05,17.4,2.86,42.03
sh,="600276",恒瑞医药,化学制剂,23.6,23.28,23.24,24.37,23.51,83.32,16.41,10.39
sz,="300595",欧普康视,医疗保健设备与用品,23.59,21.4,38.56,40.04,25.01,79.47,16.64,11.79
sz,="000002",万科Ａ,住宅地产开发和管理,23.24,22.8,19.68,19.14,24.36,8.3,1.87,85.06
sh,="603517",绝味食品,食品,23.07,22.85,28.91,28.43,24.28,36.08,7.37,30.51
sh,="603305",旭升股份,汽车零配件与设备,23.05,28.05,48.92,31.98,13.84,63.89,8.41,36.16
sz,="300725",药石科技,化学原料药,22.97,22.84,21.18,17.85,23.36,64.47,13.9,25.78
sh,="603816",顾家家居,耐用家居用品,22.96,22.26,37.25,49.88,22.59,27.51,5.45,48.1
sz,="300753",爱朋医疗,医疗保健设备与用品,22.84,23.61,24.2,33.34,18.2,43.44,5.27,8.5
sz,="300684",中石科技,非金属材料与制品,22.83,22.24,11.66,11.37,15.67,61.65,8.73,23.76
sz,="000858",五粮液,饮料,22.8,19.38,15.01,14.93,25.3,29.9,7.13,23.46
sz,="300758",七彩化学,化学原料,22.79,26.39,18.87,12.33,14.16,29.5,3.22,10.98
sh,="603833",欧派家居,耐用家居用品,22.72,25.75,39.45,28.44,21.85,25.3,4.74,39.54
sz,="300630",普利制药,化学制剂,22.71,16.59,25.21,21.25,28.27,67.11,16.16,25.96
sh,="603515",欧普照明,家用电器,22.67,20.22,21.64,26.36,20.97,32.34,4.16,35.98
sh,="603180",金牌厨柜,耐用家居用品,22.65,27.78,39.53,26.33,22.19,23.47,3.9,47.92
sh,="688300",联瑞新材,,22.41,23.89,23.76,16.38,17.69,40.92,2.86,22.02
sh,="603659",璞泰来,非金属材料与制品,22.39,32.45,43.11,29.82,20.86,52.51,9.8,57.5
sz,="300454",深信服,计算机软件,22.37,39.44,13.21,29.07,18.06,88.15,12.37,31.61
sz,="002007",华兰生物,生物科技,22.36,18.48,19.85,16.72,23.34,38.67,7.55,9.37
sh,="603357",设计总院,建筑与工程,22.33,23.59,28.26,24.1,17,13.77,2.05,29.1
sh,="603986",兆易创新,半导体,22.25,26.27,21.18,31.92,17.01,128.28,14.56,14.52
sz,="002937",兴瑞科技,电子元器件,22.23,24.32,22.31,15.2,13.63,34.51,4.7,19.52
sz,="001979",招商蛇口,工业地产开发和管理,22.22,20.32,19.04,27.96,17.34,11.42,2.2,75.62
sz,="002867",周大生,服装与配饰,22.18,21.6,28.09,26.49,22.97,14.46,2.85,22.93
sz,="002236",大华股份,电子设备及服务,22.16,25.47,24.8,23.59,21.92,19.52,3.6,48.38
sh,="600487",亨通光电,通信设备,22.09,26.88,25.16,13.12,12.36,23,2.35,64.79
sh,="600352",浙江龙盛,化学制品,22.06,15.24,13.76,20.09,22.31,10.69,1.83,49.44
sh,="601869",长飞光纤,通信设备,22.06,26.99,18.64,18.63,10.12,33.05,2.76,35.74
sh,="600663",陆家嘴,商业地产开发和管理,22.03,22.19,12.13,15.66,22.43,14.95,3.33,68.74
sh,="900932",陆家Ｂ股,,22.03,22.19,12.13,15.66,22.43,7.29,1.64,68.74
sz,="000848",承德露露,饮料,21.99,21.52,24.83,31.16,22.56,17.34,3.91,17.88
sh,="603228",景旺电子,电子元器件,21.97,21.5,34.39,36.46,17.25,35.41,4.92,34.06
sz,="000568",泸州老窖,饮料,21.81,20.3,17.79,14.74,25.4,26.42,6.45,29.83
sz,="300637",扬帆新材,化学制品,21.8,14.17,23.5,17.24,16.99,23.45,3.67,17.78
sh,="603332",苏州龙杰,合成纤维,21.66,23.19,11.23,35.27,13.05,26.04,2.48,17.88
sz,="300506",名家汇,建筑与工程,21.63,26.06,20.53,19.89,13.92,16.83,2.7,43.85
sz,="300668",杰恩设计,商业用品与服务,21.51,24.19,37.18,47.27,17.14,21.04,3.54,11.66
sh,="603848",好太太,耐用家居用品,21.39,27.95,28.42,34.01,18.39,24.3,3.87,16.98
sz,="002258",利尔化学,农用化工,21.38,18.11,10.98,11.27,12.49,15.25,1.98,47.35
sz,="300633",开立医疗,医疗保健设备与用品,21.38,20.26,20.52,21.24,11.15,75.24,9.04,39.14
sz,="300638",广和通,电信增值服务,21.38,14.56,32.51,33.7,31.34,60.54,6.4,56.55
sh,="603043",广州酒家,食品,21.16,26.35,30.66,30.46,20.46,30.69,5.78,34.21
sz,="300803",指南针,,21.12,33.34,45.95,94.03,21.25,61.03,7.48,35
sh,="600486",扬农化工,农用化工,21.08,15.71,13.44,15.52,21.75,19.46,3.47,47.51
sz,="300805",电声股份,,21.04,20.93,22.17,30.9,20.07,55.38,7.03,33.93
sh,="600690",海尔智家,家用电器,21,23.59,20.41,16.22,21.75,15.71,5.32,66.93
sz,="002815",崇达技术,电子元器件,20.99,20.26,27.48,32.12,17.7,27.6,3.85,33.27
sh,="601318",中国平安,保险,20.91,20.72,17.36,17.12,26.61,10.36,2.46,89.79
sz,="300389",艾比森,光电子器件,20.9,10.51,16.56,15.07,14.77,18.12,2.36,37.69
sz,="000661",长春高新,生物科技,20.85,15.99,15.62,23.9,24.46,52.78,11.64,30.86
sz,="300632",光莆股份,光电子器件,20.84,11.78,16.32,13.83,27.91,25.6,6.18,39.94
sh,="600660",福耀玻璃,汽车零配件与设备,20.81,17.16,18.62,18.88,15.76,20.07,2.69,47.92
sh,="603027",千禾味业,食品,20.79,15.21,13.11,15.32,15.59,52.07,6.9,22.71
sz,="002242",九阳股份,家用电器,20.7,18.4,21.36,19.72,21.96,25.23,5.51,43.17
sh,="603115",海星股份,,20.67,13.46,12.52,13.54,17.02,34.74,3.36,17.61
sh,="603639",海利尔,农用化工,20.64,20.1,23.87,26.19,16,12.78,1.88,30.62
sz,="002572",索菲亚,耐用家居用品,20.64,21.98,22.55,21.85,20.34,18.02,3.16,30.8
sh,="603660",苏州科达,家用电器,20.59,21.46,23.98,21.34,12.39,28.32,2.82,30.67
sh,="601888",中国国旅,酒店餐饮与休闲,20.56,19.12,15.26,14.15,26.09,42.3,8.77,23.69
sz,="300607",拓斯达,专用设备,20.56,21.21,24.15,22.93,19.63,32.78,3.9,47.41
sz,="300232",洲明科技,光电子器件,20.46,17.21,14.03,16.07,19.58,15.82,3.31,57.18
sz,="300326",凯利泰,医疗保健设备与用品,20.45,10.09,10.35,10.91,22.02,44.46,6.86,25.02
sz,="002624",完美世界,计算机软件,20.43,19.57,26.73,32.05,21.03,25.31,5.21,40.14
sz,="002916",深南电路,电子元器件,20.38,25.61,18.48,12.15,27.6,48.09,11.24,56.7
sz,="002271",东方雨虹,建筑材料,20.36,21.91,23.17,19.61,23.06,21.82,4.08,55.13
sh,="603369",今世缘,饮料,20.36,18.11,17.6,18.16,21.83,27.56,5.43,19.61
sz,="300572",安车检测,电子设备及服务,20.34,14.99,16.61,18.15,26.12,50,10.42,44.77
sh,="603086",先达股份,农用化工,20.28,11.82,14.48,16.75,15.93,11.04,1.64,31.39
sh,="600612",老凤祥,服装与配饰,20.26,21.13,21.83,26.09,21.14,19.97,3.7,56.72
sh,="900905",老凤祥Ｂ,,20.26,21.13,21.83,26.09,21.14,9.45,1.76,56.72
sh,="603871",嘉友国际,物流,20.26,43.82,41.55,39.36,19.14,14.65,2.51,24.74
sh,="603025",大豪科技,电脑与外围设备,20.24,24.94,16.19,14.75,14.59,37.87,5.06,7.75
sz,="300033",同花顺,互联网软件与服务,20.23,24.68,49.61,57.81,23.15,66.74,13.82,24.18
sz,="002311",海大集团,农牧渔产品,20.21,20.01,16.17,16.72,19.21,31.74,5.72,48.29
sz,="002690",美亚光电,专用设备,20.14,17.38,15.78,17.56,23.02,56.17,11.26,14.38
sh,="603387",基蛋生物,生物科技,20.14,28.7,43.15,49.9,19.28,25.88,3.98,10.92
sh,="603338",浙江鼎力,专用设备,20.05,22.14,17.48,16.78,19.78,46.49,7.61,32.65
sh,="603429",集友股份,商业用品与服务,20.04,21.41,29.94,29.97,20.24,67.61,8.9,23.55
sz,="300124",汇川技术,电气部件与设备,19.99,20.98,21.49,21.91,15.89,49.39,7.81,42.2
sz,="300408",三环集团,电子元器件,19.95,19.58,22.41,22.11,14.63,31.77,4.63,11.99
sz,="002965",祥鑫科技,,19.87,24.08,24.54,21.05,18.65,34.39,3.11,42.06
sh,="603337",杰克股份,专用设备,19.81,16.84,24.14,22.49,13.38,27.01,3.38,38.06
sz,="000921",海信家电,家用电器,19.79,35.12,24.23,15.49,19.68,11.31,1.68,64.8
sh,="603886",元祖股份,食品,19.78,18.19,26.8,28.48,19.41,17.63,2.92,46.95
sh,="603351",威尔药业,化学制品,19.75,22.21,23.46,22.72,14.53,22.37,2.35,15.91
sh,="603160",汇顶科技,电子元器件,19.72,28.79,47.13,35.52,45.66,43.68,15.58,24.93
sh,="603203",快克股份,专用设备,19.72,19.62,37.36,33.04,18.94,23.03,3.46,16.31
sh,="603866",桃李面包,食品,19.71,22.36,22.42,30.33,20.09,43.31,8.28,28.7
sz,="300596",利安隆,化学原料,19.63,16.01,19.72,19.48,21.05,27.61,4.52,40.33
