﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sz,="002912",中新赛克,互联网软件与服务,16.95,20.09,18.41,20.33,16.84,48.47,7.61,29.14
sh,="600332",白云山,中药,16.93,11.34,12.75,15.91,13.94,20.05,2.32,52.28
sh,="603458",勘设股份,商业用品与服务,16.92,26.52,21.43,16.56,16.37,9.66,1.41,48.26
sz,="002396",星网锐捷,通信设备,16.91,15.44,11.62,11.26,17.3,32.25,4.78,31.13
sh,="603997",继峰股份,汽车零配件与设备,16.91,18.11,17.51,15.11,13.94,20.91,2.67,23.02
sh,="601577",长沙银行,银行,16.91,18.25,17,18.73,15.04,5.98,0.87,94.12
sh,="600406",国电南瑞,重型电气设备,16.9,16.38,17.23,17.09,14.6,28.67,3.75,44.21
sz,="002439",启明星辰,信息技术服务,16.89,15.58,12.69,15.34,15.74,56.28,9.69,34.82
sh,="600885",宏发股份,电气部件与设备,16.82,17.91,18.13,16.64,14.83,34.98,4.54,38.47
sh,="603877",太平鸟,服装与配饰,16.78,14.78,23.29,34.63,14.64,18.61,2.13,48.07
sz,="002818",富森美,房地产租赁,16.76,16.25,20.42,21.8,16.71,12.18,1.95,20.5
sz,="002878",元隆雅图,传媒,16.74,18.22,23.28,22.42,17.42,29.95,6.18,39.35
sz,="300395",菲利华,非金属材料与制品,16.71,14.27,14.23,12.38,17.45,39.1,2.84,13.55
sh,="601012",隆基股份,半导体,16.71,30.14,21.77,11.81,22.39,21.59,3.49,51.34
sh,="603709",中源家居,耐用家居用品,16.69,51.63,69.28,83.73,13.93,31.21,3.01,34.62
sz,="300808",久量股份,,16.68,13.95,21.49,23.56,15.4,28.86,2.34,38.48
sh,="600388",龙净环保,商业用品与服务,16.66,16.92,17.4,16.75,15.94,13.91,1.95,73.15
sh,="600273",嘉化能源,化学原料,16.64,19.28,20,21.35,17.87,11.25,2.11,16.28
sh,="600048",保利地产,住宅地产开发和管理,16.63,16.32,15.53,18.63,18.2,8.06,1.41,79.64
sh,="603708",家家悦,食品与主要用品零售,16.63,13.07,23.16,25.39,21.31,32.93,5.53,64.12
sz,="300463",迈克生物,生物科技,16.61,15.59,14.68,17.18,17.63,30.14,5.02,38.98
sz,="002117",东港股份,商业用品与服务,16.6,15.95,15.11,16.19,16.57,25.16,3.9,22.9
sh,="603393",新天然气,燃气公用事业,16.6,14.29,21.72,32.82,21.7,16.91,2.57,34.46
sz,="002555",三七互娱,计算机软件,16.59,28.12,26.56,17.58,21.53,63.28,9.27,31.82
sh,="600036",招商银行,银行,16.57,16.54,16.27,17.09,16.66,10.11,1.64,91.75
sh,="600236",桂冠电力,电力公用事业,16.57,17.98,20.07,29.99,16.19,17.21,2.66,62.18
sh,="603220",中贝通信,通信设备,16.57,16.87,18,17.73,12.54,46.19,4.32,48.78
sz,="300786",国林科技,,16.47,14.02,11.71,13.97,14.7,41.77,3.71,19.77
sz,="002287",奇正藏药,中药,16.44,16.78,17.47,17.01,16.81,37.99,5.3,21.55
sh,="603040",新坐标,汽车零配件与设备,16.42,21.04,21.82,20.97,15.91,26.3,3.44,8.27
sh,="603214",爱婴室,专营零售,16.42,27.29,25.78,25.44,16.21,35.28,4.62,37.43
sz,="002653",海思科,化学制剂,16.41,11.2,21.26,17.3,19.78,93.35,10.36,52.38
sh,="600183",生益科技,电子元器件,16.39,20.12,15.65,12.31,18.06,43.64,6.27,39.24
